,dewpoint,x,y
80,2.2,702696.2706292022,5888399.373872158
81,-7.6,801921.2327062591,5832866.6454744
82,5.4,781084.0051416109,5799424.026117609
83,5.0,978218.4668730203,5807990.196173467
84,6.9,997435.6618881541,5780963.482470462
85,5.8,924058.7516148229,5948020.280808001
86,5.0,934774.4771180742,6021095.665185001
87,5.4,994484.693506715,5806029.563433685
88,6.4,786997.2964925496,5886189.314635566
89,4.0,731144.5230988773,5899247.364996891
90,-4.9,993497.734901342,5846313.844505285
91,4.3,909397.9746773489,5898466.285661807
92,2.2,804313.5998828975,5791737.377937007
93,1.9,830528.1154503146,5828357.596050068
94,3.4,1003865.2530373918,5768753.370272796
95,-6.7,869914.5097658457,5773401.548905946
96,8.1,916473.2188731876,5981965.038634792
97,1.0,848701.9128782427,5804090.575161999
98,7.4,876965.0410347285,6035976.47545477
99,7.4,810201.5103899352,5937708.394644459
100,-2.7,1142293.8228260975,5912281.479592254
101,1.7,883882.6568316042,5942831.79789813
102,6.5,774016.2193516552,5942073.09307845
103,3.5,693259.7173946565,5844852.345367947
104,4.7,1070081.5370654454,6003764.203530628
105,4.9,763455.6732185697,5872534.012921302
106,-4.9,1115373.0964090878,5846161.274160723
107,4.9,772825.3234391488,5911372.8542772615
108,-2.8,918644.2829021289,5938626.12667845
109,-3.7,967156.0924754387,5863229.541682879
110,-8.4,1093311.1318067322,5847596.508625408
111,-5.4,1060823.9855720953,5873330.276485275
112,2.6,808875.249976624,5900988.111773115
113,3.5,1120204.0283510431,5836162.942976918
114,6.1,742218.3634040107,5862825.630740744
115,-6.7,947706.1284050565,5851637.540904225
116,5.4,877126.4542963788,6013295.38296964
117,-2.1,1022429.8931974954,5854945.396932626
118,5.5,1004537.1774838201,6049027.822753988
119,-3.1,1099770.6678989932,5865084.988203314
120,4.7,961462.7684383076,5955315.832812752
121,4.8,959581.135085429,6055403.385246647
122,4.6,1076245.1859511784,5938076.944229601
123,4.9,891940.9634506386,5933433.280418302
124,1.4,1144720.9216838633,5908395.840042738
125,-3.5,1086737.0479584443,5849903.319973316
126,-0.8,896827.2211795184,5811946.861192933
127,6.8,814333.5785686907,5815271.230832
128,4.6,855723.3897600285,6035905.525437493
129,4.7,1046231.8927604407,6011797.937626195
130,-1.3,1160650.7408163808,5877382.995500999
131,6.6,994351.1101177633,5755290.334791889
132,-4.6,1040097.854859259,5982884.332605502
133,4.7,844383.0505939362,5901329.771510473
134,-11.4,937957.3239988356,5904694.930483303
135,1.5,945127.5237203211,5999615.3928220775
136,0.6,924858.6934756634,5861625.16879472
137,6.7,1059484.8120978524,5962901.53405976
138,-0.1,1063594.6163784491,5902180.485816954
139,1.0,1022882.6295665515,5881524.9576854035
140,6.2,758652.793788294,5856198.447713434
141,-1.3,1071761.7934594792,5837102.365118373
142,4.2,746961.4642677304,5880555.656029158
143,3.6,873067.9683010377,5829018.708177706
144,-8.4,1091642.786598213,5914910.778520353
145,5.2,866890.6271179373,5983799.459624761
146,6.0,965990.3547678515,5978210.816377566
147,5.4,915819.2168647771,6030084.328780959
148,0.4,862992.8864673018,5785039.556563531
149,5.9,948207.0661136262,6012162.072762202
150,4.9,953533.0358311395,6003973.800407989
151,6.4,950212.3754207761,6020708.588857661
